,Labels,Xcoords,Ycoords,Sizes
0,#toxicfeminism,79.058716,-28.126804,4.605170185988092
1,#feminismismanhating,150.81648,85.58219,2.70805020110221
2,#feminismisawful,3.409561,164.74995,4.912654885736052
3,@javed,8.463515,-147.95354,1.791759469228055
4,#rsa,24.50184,-68.729546,3.9318256327243257
5,#itsneverokay,-47.038795,-84.40067,2.833213344056216
6,@cia,79.187416,130.46722,4.3694478524670215
7,whiners,-27.83606,-20.039255,3.044522437723423
8,#erotica,-49.480225,49.525143,2.4849066497880004
9,@libbyblog,23.319456,16.173618,1.9459101490553132
10,#sjwlogic,144.18602,-76.10493,2.0794415416798357
11,@wendywglobal,-68.02891,126.58863,2.1972245773362196
12,rhyme,-126.57811,72.03584,1.791759469228055
13,#imwithsabotage,-93.8366,-9.511911,1.791759469228055
14,@flagstaffghana,-75.70161,-154.27605,1.791759469228055
15,publicised,-127.823074,-82.23624,1.791759469228055
16,#dkbiz,11.143582,86.17393,3.6375861597263857
17,#stress,81.912384,49.446846,3.8501476017100584
18,pantry,-168.57272,-2.6059093,1.6094379124341003
19,@tvietor,82.006874,-123.16439,2.1972245773362196
20,@sunandavashisht,151.18929,3.4682202,3.5553480614894135
